stratum,path,bit,draw,abs_bit,cycle,cls,out_ok,hang,cnt_ok,cnt_err,gave_up_early,never_gives_up,strap_ok,noboot_set,valid_lost,record_ok,tmr_report
dly,g_prot_tmr.u_prot_a.bits,0,2,0,84,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,0,3,0,88,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,1,0,1,47,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,1,1,1,26,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,1,2,1,59,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
dly,g_prot_tmr.u_prot_a.bits,1,3,1,89,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
sysq,g_prot_tmr.u_prot_a.bits,0,0,9,37,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
sysq,g_prot_tmr.u_prot_a.bits,0,1,9,43,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
sysq,g_prot_tmr.u_prot_a.bits,0,2,9,22,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
sysq,g_prot_tmr.u_prot_a.bits,0,3,9,30,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,0,0,18,37,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,0,1,18,25,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,0,2,18,24,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,0,3,18,36,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,1,0,19,98,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,1,1,19,96,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,1,2,19,26,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,1,3,19,81,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,2,0,20,39,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,2,1,20,58,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,2,2,20,11,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,2,3,20,32,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,3,0,21,74,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,3,1,21,5,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,3,2,21,71,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,3,3,21,61,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,4,0,22,28,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,4,1,22,15,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,4,2,22,11,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
report,g_prot_tmr.u_prot_a.bits,4,3,22,29,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,0,0,0,81,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,0,1,0,46,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,0,2,0,31,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,0,3,0,9,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,1,0,1,57,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,1,1,1,8,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,1,2,1,83,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,1,3,1,90,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,2,0,2,21,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,2,1,2,3,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,2,2,2,92,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,2,3,2,46,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,3,0,3,26,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,3,1,3,22,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,3,2,3,90,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,3,3,3,100,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,4,0,4,15,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,4,1,4,74,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,4,2,4,2,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,4,3,4,5,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,5,0,5,94,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,5,1,5,39,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,5,2,5,57,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,5,3,5,18,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,6,0,6,35,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,6,1,6,42,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,6,2,6,16,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,6,3,6,17,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,7,0,7,35,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,7,1,7,54,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,7,2,7,40,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,7,3,7,57,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,8,0,8,22,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,8,1,8,48,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,8,2,8,31,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,8,3,8,54,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,9,0,9,38,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,9,1,9,41,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,9,2,9,77,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,9,3,9,18,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,10,0,10,67,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,10,1,10,35,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,10,2,10,12,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,10,3,10,60,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,11,0,11,21,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,11,1,11,57,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,11,2,11,61,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,11,3,11,9,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,12,0,12,14,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,12,1,12,14,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,12,2,12,59,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,12,3,12,19,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,13,0,13,89,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,13,1,13,18,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,13,2,13,81,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,13,3,13,81,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,14,0,14,63,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,14,1,14,48,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,14,2,14,100,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,14,3,14,78,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,15,0,15,81,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,15,1,15,50,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,15,2,15,67,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,15,3,15,23,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,16,0,16,22,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,16,1,16,90,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,16,2,16,56,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,16,3,16,65,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,17,0,17,57,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,17,1,17,73,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,17,2,17,48,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,17,3,17,41,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,18,0,18,44,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,18,1,18,12,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,18,2,18,1,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,18,3,18,41,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,19,0,19,90,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,19,1,19,66,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,19,2,19,66,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,19,3,19,79,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,20,0,20,6,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,20,1,20,24,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,20,2,20,47,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,20,3,20,29,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,21,0,21,60,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,21,1,21,82,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,21,2,21,28,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,21,3,21,58,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,22,0,22,59,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,22,1,22,32,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,22,2,22,93,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_b,g_prot_tmr.u_prot_b.bits,22,3,22,9,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,0,0,0,35,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,0,1,0,18,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,0,2,0,46,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,0,3,0,3,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,1,0,1,59,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,1,1,1,31,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,1,2,1,43,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,1,3,1,36,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
